time,q1,q2,q3,q4,q5,q6,q7
0.58,-5.99235e-07,0.1359,1.37391e-06,-0.0410592,2.0507e-06,0.176229,2.85308e-06
0.59,-6.07594e-07,0.1379,1.39462e-06,-0.0423366,2.08345e-06,0.179504,2.89921e-06
0.6,-6.15953e-07,0.1399,1.41533e-06,-0.0436141,2.11621e-06,0.182779,2.94533e-06
0.61,-6.24393e-07,0.1419,1.43576e-06,-0.0448912,2.14856e-06,0.186054,2.99067e-06
0.62,-6.32832e-07,0.1439,1.45619e-06,-0.0461683,2.18092e-06,0.189328,3.03602e-06
0.63,-6.4026e-07,0.145867,1.47598e-06,-0.047497,2.21255e-06,0.192623,3.08107e-06
0.64,-6.47421e-07,0.147813,1.4956e-06,-0.0488594,2.24415e-06,0.195931,3.12625e-06
0.65,-6.54583e-07,0.149759,1.51521e-06,-0.0502218,2.27575e-06,0.199238,3.17142e-06
0.66,-6.61942e-07,0.151704,1.5347e-06,-0.0515839,2.3072e-06,0.202546,3.21612e-06
0.67,-6.69301e-07,0.15365,1.55419e-06,-0.052946,2.33865e-06,0.205853,3.26082e-06
0.68,-6.75907e-07,0.155564,1.57279e-06,-0.0543577,2.36902e-06,0.20918,3.30436e-06
0.69,-6.82575e-07,0.157478,1.59113e-06,-0.0557691,2.39899e-06,0.212506,3.34715e-06
0.7,-6.89243e-07,0.159392,1.60946e-06,-0.0571805,2.42895e-06,0.215832,3.38994e-06
0.71,-6.95231e-07,0.161285,1.6273e-06,-0.0586248,2.45827e-06,0.219171,3.4323e-06
0.72,-7.01219e-07,0.163178,1.64514e-06,-0.0600692,2.48759e-06,0.222509,3.47466e-06
0.73,-7.07196e-07,0.16505,1.66331e-06,-0.0615456,2.5177e-06,0.22586,3.51825e-06
0.74,-7.12567e-07,0.16689,1.68056e-06,-0.0630693,2.54663e-06,0.229228,3.56038e-06
0.75,-7.17937e-07,0.168731,1.69781e-06,-0.064593,2.57556e-06,0.232596,3.60252e-06
0.76,-7.23472e-07,0.170572,1.71504e-06,-0.0661164,2.60449e-06,0.235964,3.64449e-06
0.77,-7.29006e-07,0.172412,1.73228e-06,-0.0676397,2.63343e-06,0.239332,3.68647e-06
